Name,Image
Imran Khan,"https://m.media-amazon.com/images/M/MV5BMTk1MzY4MzgxM15BMl5BanBnXkFtZTgwMTgyMjkyODE@._V1_UY209_CR27,0,140,209_AL_.jpg"
Riteish Deshmukh,"https://m.media-amazon.com/images/M/MV5BMTU3NDM3NDM3Ml5BMl5BanBnXkFtZTgwMzk4ODEzOTE@._V1_UY209_CR8,0,140,209_AL_.jpg"
Sidharth Malhotra,"https://m.media-amazon.com/images/M/MV5BNDQyNjk3Mzk3OF5BMl5BanBnXkFtZTgwOTYyODMxMTE@._V1_UY209_CR87,0,140,209_AL_.jpg"
Arjun Kapoor,"https://m.media-amazon.com/images/M/MV5BMTU4ODM3ODA0Ml5BMl5BanBnXkFtZTgwNzA4MTgzMTE@._V1_UY209_CR87,0,140,209_AL_.jpg"
Abhishek Bachchan,"https://m.media-amazon.com/images/M/MV5BMTk1NjU1NjkxN15BMl5BanBnXkFtZTcwNDI4MDMzMg@@._V1_UY209_CR7,0,140,209_AL_.jpg"
Gulshan Grover,"https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Fardeen Khan,"https://m.media-amazon.com/images/M/MV5BNzQwMzg2NzU1MF5BMl5BanBnXkFtZTgwNDIxMjMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Randeep Hooda,"https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_UY209_CR34,0,140,209_AL_.jpg"
Paresh Rawal,"https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_UY209_CR88,0,140,209_AL_.jpg"
Arjun Rampal,"https://m.media-amazon.com/images/M/MV5BMTg0NTAzOTU4Ml5BMl5BanBnXkFtZTcwMzg1MjUyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Akshaye Khanna,"https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR87,0,140,209_AL_.jpg"
Pulkit Samrat,"https://m.media-amazon.com/images/M/MV5BMDBjM2EyNWEtNDJhMi00MjMyLThjNDktNTNhOGU5MTQ5MDU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR9,0,140,209_AL_.jpg"
